mMed,mDark,N_generated,NA_0SVJ,NA_1SVJ,NA_2SVJ,NA_3PSVJ,NA_Inclusive,eff_0SVJ,eff_1SVJ,eff_2SVJ,eff_3PSVJ,eff_Inclusive
800,20,795270.3885984421,1629.6780726909637,5400.662065029144,4028.0016302466393,1227.2324387431145,12285.574206709862,0.002049212564751787,0.006790975927755956,0.00506494607116638,0.0015431637545388153,0.015448298318212938
800,30,,,,,,,,,,,
800,40,,,,,,,,,,,
800,50,,,,,,,,,,,
800,60,,,,,,,,,,,
800,70,,,,,,,,,,,
800,80,,,,,,,,,,,
800,90,,,,,,,,,,,
800,100,,,,,,,,,,,
900,1,512722.94605255127,5767.922013998032,4917.75167798996,1899.190450668335,328.99459505081177,12913.858737707138,0.011249588219925019,0.009591440593505089,0.003704126108047597,0.0006416615397920803,0.025186816461269784
900,5,512722.99392938614,2360.6698850393295,5442.385974317789,3448.454700887203,956.2675182819366,12207.778078526258,0.0046041818155018194,0.010614671155293128,0.0067257656506861,0.0018650763269915623,0.023809694948472612
900,10,512722.9993224144,1260.1884539723396,3753.1443422436714,3163.8487362265587,1312.9269410967827,9490.108473539352,0.0024578348457895065,0.007320023379492658,0.0061706783982924925,0.002560694454572688,0.018509231078147344
900,20,512722.95265197754,1303.2588885426521,3340.442677438259,3309.8247816562653,963.9459451436996,8917.472292780876,0.002541838397914027,0.006515102669307768,0.0064553864119730265,0.0018800522585498529,0.017392379737744674
900,30,,,,,,,,,,,
900,40,,,,,,,,,,,
900,50,,,,,,,,,,,
900,60,,,,,,,,,,,
900,70,,,,,,,,,,,
900,80,,,,,,,,,,,
900,90,,,,,,,,,,,
900,100,,,,,,,,,,,
1000,1,332849.2174196243,4141.622919917107,3719.9469316005707,1268.967821598053,232.03468823432922,9362.57236135006,0.012442940235895901,0.011176072338216794,0.003812440454075817,0.0006971165203065572,0.028128569548495068
1000,5,332849.18595552444,1794.460172712803,3897.4770065546036,2528.39922863245,744.510302528739,8964.846710428596,0.00539121094005794,0.01170943830121125,0.007596230771525146,0.0022367797006666587,0.026933659713460994
1000,10,332849.20907974243,946.5121783614159,2432.4842472076416,2536.471020460129,757.4532029107213,6672.920648939908,0.002843666598993345,0.007308066778746284,0.007620480840176649,0.00227566472218732,0.020047878940103597
1000,20,332849.31053876877,866.4091382026672,2335.163882255554,2229.1353044509888,681.5245554745197,6112.23288038373,0.002603007159006123,0.007015678892276284,0.0066971306049659046,0.0020475468444605322,0.018363363500708843
1000,30,,,,,,,,,,,
1000,40,,,,,,,,,,,
1000,50,,,,,,,,,,,
1000,60,,,,,,,,,,,
1000,70,,,,,,,,,,,
1000,80,,,,,,,,,,,
1000,90,,,,,,,,,,,
1000,100,,,,,,,,,,,
1500,1,66652.5956016779,716.7380962371826,761.3825305402279,255.5256009697914,45.439493119716644,1779.0857208669186,0.010753341107981393,0.011423148996181944,0.003833693176734424,0.0006817362881299818,0.026691919569027743
1500,5,66652.60771691799,315.07055643200874,841.625092536211,662.805467247963,159.90217486023903,1979.4032910764217,0.0047270552079545485,0.012627039231693659,0.009944179079428987,0.0023990385423382633,0.02969731206141546
